group,keyword,label,path
val,_unknown_,1,./data/speech_commands_v0.02/backward/95fd5a0f_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/3b195250_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/81332c92_nohash_4.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/773e26f7_nohash_2.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/02ade946_nohash_3.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/87070229_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/de89e2ca_nohash_4.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/aa80f517_nohash_3.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/eaa83485_nohash_3.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/a045368c_nohash_4.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/189cbabe_nohash_4.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/1a0f9c63_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/a7200079_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/a4383927_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/bcf614a2_nohash_3.wav
val,_unknown_,1,./data/speech_commands_v0.02/backward/a045368c_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/c7124b73_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/553f1a79_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/86402da1_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/d4d898d7_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/57152045_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/1b755c65_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/b26343e9_nohash_2.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/9e42ae25_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/54412eae_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/9a76f8c3_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/2b3f509b_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/ed032775_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/ec9b830b_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/a4baac4e_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/b3849d6e_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bed/605ed0ff_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/67fcdb05_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/92b2bf59_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/f618568f_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/31601aad_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/257251e0_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/a5d1becc_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/095847e4_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/b0f5b16d_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/834f03fe_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/413997c1_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/48bfde8e_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/2ce7534c_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/4995d875_nohash_0.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/3ca784ec_nohash_1.wav
val,_unknown_,1,./data/speech_commands_v0.02/bird/72e382bd_nohash_0.wav
